name,easting,northing,ward,site_code
Alexandra Recreation Ground,535688.6499999999,170901.02000000002,PENGE & CATOR,ALEXRG
Alexandra Rec,535688.6499999999,170901.02000000002,PENGE & CATOR,ALEXRG
Amherst Wood Open Space,546405.175,168216.775,CRAY VALLEY WEST,AMEHWD
Amherst Wood,546405.175,168216.775,CRAY VALLEY WEST,AMEHWD
Arundel Drive Open Space,546674.915,164471.74,CHELSFIELD & PRATTS BOTTOM,REPTGP
Repton Road Playground,546674.915,164471.74,CHELSFIELD & PRATTS BOTTOM,REPTGP
Repton Road Open Space,546674.915,164471.74,CHELSFIELD & PRATTS BOTTOM,REPTGP
Eton Garage Play Area,546674.915,164471.74,CHELSFIELD & PRATTS BOTTOM,REPTGP
Beaver Close Open Space,534330.127,170380.546,CRYSTAL PALACE ,BEAVCL
Beaver Close Enbankment,534330.127,170380.546,CRYSTAL PALACE ,BEAVCL
Lullington Road Open Space,534330.127,170380.546,CRYSTAL PALACE ,BEAVCL
Beckenham Green,537507.665,169720.075,COPERS COPE,BECKGN
Beckenham Library Open Space,536646.855,169574.84,CLOCK HOUSE,BECKLB
Beckenham Library,536646.855,169574.84,CLOCK HOUSE,BECKLB
Beckford Green,544899.374,166675.529,FARNBOROUGH & CROFTON,BECKGN
Crofton Lane Open Space,544899.374,166675.529,FARNBOROUGH & CROFTON,BECKGN
Betts Park,534696.695,169504.58500000002,CRYSTAL PALACE ,BETTPK
Biggin Hill Green,541792.007,159451.908,BIGGIN HILL,BHWMGN
Biggin Hill Recreation Ground,542051.765,159101.3324,BIGGIN HILL,BIGGRG
Biggin Hill Rec,542051.765,159101.3324,BIGGIN HILL,BIGGRG
Blake Recreation Ground,537876.4450000001,166544.66499999998,WEST WICKHAM,BLAKRG
Blake Rec,537876.4450000001,166544.66499999998,WEST WICKHAM,BLAKRG
Bodmin Close Open Space,547078.2733499999,166102.77785,ORPINGTON,BODCLOS
Bromley Palace Park ,540692.9099999999,169120.26,BROMLEY TOWN,CIVCEN
Civic Centre Grounds,540692.9099999999,169120.26,BROMLEY TOWN,CIVCEN
Broomhill Common,546076.575,166711.195,PETTS WOOD & KNOLL,BROORD
Broxbourne Gardens,545828.2050000001,166500.55,PETTS WOOD & KNOLL,BROXGD
Burham Close Playground,535384.81,170148.635,PENGE & CATOR,BURHCL
Buttermere Road Green,547607.421,168503.19,CRAY VALLEY EAST,BUTTRD
Cator Park,536399.755,170181.465,PENGE & CATOR,CATPKR
Charterhouse Playground,546563.446,164835.37565,ORPINGTON,CHHSGN
Charterhouse Green,546563.446,164835.37565,ORPINGTON,CHHSGN
Charterhouse Open Space,546563.446,164835.37565,ORPINGTON,CHHSGN
Chelsfield Children's Playground,548342.54,164204.735,CHELSFIELD & PRATTS BOTTOM,CHELPG
Chelsfield Green,546646.56,164118.425,CHELSFIELD & PRATTS BOTTOM,CHELGN
Chelsfield Recreation Ground,548333.415,164091.86,CHELSFIELD & PRATTS BOTTOM,CHELRG
Chelsfield Open Space,548333.415,164091.86,CHELSFIELD & PRATTS BOTTOM,CHELRG
Chelsfield Rec,548333.415,164091.86,CHELSFIELD & PRATTS BOTTOM,CHELRG
Chislehurst Commons,544067.842,170221.963,CHISLEHURST,Chislehurst Common
Chislehurst Recreation Ground,543467.8049999999,170855.39500000002,CHISLEHURST,CHISRG
Chislehurst Rec,543467.8049999999,170855.39500000002,CHISLEHURST,CHISRG
Church House Gardens,540036.29,169064.245,BROMLEY TOWN,CHHSGD
Bromley Park,540036.29,169064.245,BROMLEY TOWN,CHHSGD
Churchill Gardens,540036.29,169064.245,BROMLEY TOWN,CHHSGD
Library Gardens,540036.29,169064.245,BROMLEY TOWN,CHHSGD
Churchfields Recreation Ground,536051.01,169146.72999999998,CLOCK HOUSE,CHURRG
Churchfields Rec,536051.01,169146.72999999998,CLOCK HOUSE,CHURRG
College Green,540128.175,169606.06,BROMLEY TOWN,COLLGN
Slip Pocket Park,540128.175,169606.06,BROMLEY TOWN,COLLGN
Coney Hall Recreation Ground,539167.0449999999,164991.415,HAYES & CONEY HALL,CONREC
Coney Hall Rec,539167.0449999999,164991.415,HAYES & CONEY HALL,CONREC
Covet Wood,545775.965,167253.02260000003,CRAY VALLEY WEST,COVEWD
Crampton Road Embankment,535146.04,170786.99,PENGE & CATOR,BREDCE
Bredhurst Close Embankment,535146.04,170786.99,PENGE & CATOR,BREDCE
